Application_ID,Beneficiary_ID,Officer_ID,Application_Date,Application_Mode,Documents_Submitted,Income_Certificate,Aadhaar_Verified,Status,Rejection_Reason
APP000037,BEN003045,OFF0009,2026-03-30,CSC Center,No,Yes,Yes,Approved,
APP000038,BEN009486,OFF0077,2026-05-16,Online,No,No,No,Pending,
APP000039,BEN003347,OFF0086,2024-07-15,CSC Center,No,No,Yes,Approved,
APP000040,BEN004916,OFF0059,2026-02-19,Online,Yes,No,Yes,Approved,
APP000041,BEN001201,OFF0069,2026-03-27,Hospital,Yes,No,Yes,Approved,
APP000042,BEN004003,OFF0048,2024-11-11,District Office,No,Yes,No,Approved,
APP000043,BEN001698,OFF0018,2026-01-03,Online,Yes,No,No,Approved,
APP000044,BEN009910,OFF0027,2025-06-03,CSC Center,No,No,No,Approved,
APP000045,BEN000833,OFF0012,2025-03-31,Hospital,Yes,Yes,No,Approved,
APP000046,BEN002144,OFF0082,2025-02-10,CSC Center,No,No,Yes,Under Verification,
APP000047,BEN001833,OFF0010,2024-11-07,CSC Center,Yes,No,Yes,Under Verification,
APP000048,BEN007042,OFF0017,2024-12-24,Hospital,Yes,No,Yes,Pending,
APP000049,BEN004089,OFF0086,2026-02-23,Mobile Camp,No,Yes,Yes,Pending,
APP000050,BEN002663,OFF0023,2025-03-28,CSC Center,No,No,Yes,Rejected,Income Above Limit
APP000051,BEN004372,OFF0021,2024-09-27,District Office,Yes,No,Yes,Rejected,Income Above Limit
APP000052,BEN003270,OFF0059,2024-09-20,CSC Center,Yes,Yes,Yes,Approved,
APP000053,BEN006529,OFF0043,2025-05-01,Online,No,No,No,Approved,
APP000054,BEN008786,OFF0043,2024-09-23,Online,No,Yes,No,Under Verification,
APP000055,BEN000627,OFF0014,2025-04-14,Hospital,No,No,Yes,Approved,
APP000056,BEN006312,OFF0074,2026-04-29,Online,No,Yes,Yes,Approved,
APP000057,BEN005968,OFF0056,2025-04-03,Hospital,No,Yes,No,Pending,
APP000058,BEN008309,OFF0040,2025-10-21,Hospital,No,No,Yes,Approved,
APP000059,BEN003144,OFF0054,2025-01-31,District Office,Yes,No,No,Approved,
APP000060,BEN008978,OFF0001,2026-03-28,CSC Center,No,No,No,Approved,
APP000061,BEN007239,OFF0057,2024-08-12,Mobile Camp,No,Yes,Yes,Approved,
APP000062,BEN004650,OFF0066,2026-01-27,Mobile Camp,No,Yes,Yes,Approved,
APP000063,BEN005086,OFF0029,2025-07-01,Online,Yes,Yes,No,Rejected,Incomplete Documents
APP000064,BEN001194,OFF0059,2025-08-30,Mobile Camp,Yes,No,No,Approved,
APP000065,BEN006548,OFF0032,2024-10-14,Online,Yes,No,Yes,Pending,
APP000066,BEN002882,OFF0090,2026-06-26,Online,Yes,Yes,No,Approved,
APP000067,BEN002185,OFF0060,2025-04-30,Mobile Camp,No,No,No,Approved,
APP000068,BEN008977,OFF0058,2024-09-09,District Office,No,No,Yes,Rejected,Not Eligible
APP000069,BEN004544,OFF0099,2025-09-11,CSC Center,No,No,Yes,Rejected,Invalid Aadhaar
APP000070,BEN004682,OFF0031,2025-02-22,Hospital,Yes,Yes,Yes,Approved,
APP000071,BEN003789,OFF0050,2026-04-15,CSC Center,Yes,No,No,Approved,
APP000072,BEN005422,OFF0070,2025-11-10,Online,Yes,No,No,Approved,
APP000073,BEN009570,OFF0090,2025-11-02,Mobile Camp,No,No,Yes,Pending,
APP000074,BEN005764,OFF0039,2026-05-28,Mobile Camp,Yes,No,Yes,Rejected,Invalid Aadhaar
APP000075,BEN004472,OFF0056,2026-05-10,District Office,No,No,Yes,Approved,
APP000076,BEN007658,OFF0017,2025-04-16,Mobile Camp,Yes,No,Yes,Under Verification,
APP000077,BEN001376,OFF0083,2025-10-01,District Office,Yes,Yes,No,Approved,
APP000078,BEN006212,OFF0042,2024-12-06,Hospital,No,No,No,Approved,
APP000079,BEN006907,OFF0033,2026-01-08,Online,Yes,No,Yes,Rejected,Invalid Aadhaar
APP000080,BEN001125,OFF0100,2024-09-02,Online,Yes,Yes,Yes,Under Verification,
APP000081,BEN000334,OFF0080,2024-08-14,CSC Center,No,Yes,Yes,Approved,
APP000082,BEN007620,OFF0090,2025-12-05,Hospital,Yes,Yes,Yes,Approved,
APP000083,BEN005097,OFF0014,2025-01-03,Hospital,No,No,Yes,Approved,
APP000084,BEN001246,OFF0076,2026-03-02,CSC Center,Yes,No,Yes,Approved,
APP000085,BEN009273,OFF0006,2025-02-19,District Office,No,Yes,No,Approved,
APP000086,BEN000208,OFF0054,2024-09-09,District Office,No,No,Yes,Rejected,Income Above Limit
APP000087,BEN007136,OFF0023,2026-05-05,Hospital,No,No,No,Approved,
APP000088,BEN009708,OFF0035,2025-01-06,CSC Center,Yes,No,No,Approved,
APP000089,BEN003996,OFF0097,2026-05-14,Mobile Camp,No,No,Yes,Approved,
APP000090,BEN008099,OFF0042,2024-09-26,CSC Center,No,No,No,Approved,
APP000091,BEN004582,OFF0077,2025-05-01,Hospital,Yes,Yes,Yes,Approved,
APP000092,BEN003955,OFF0093,2025-02-10,Mobile Camp,Yes,No,No,Approved,
APP000093,BEN007343,OFF0003,2025-06-27,CSC Center,No,Yes,No,Pending,
APP000094,BEN009529,OFF0048,2025-11-15,Mobile Camp,No,No,No,Approved,
APP000095,BEN005765,OFF0090,2026-04-18,Hospital,No,Yes,Yes,Approved,
APP000096,BEN003156,OFF0041,2025-04-19,Mobile Camp,Yes,Yes,Yes,Pending,
APP000097,BEN007934,OFF0036,2024-11-13,Mobile Camp,No,Yes,Yes,Approved,
APP000098,BEN004854,OFF0030,2025-04-23,Hospital,Yes,Yes,No,Approved,
APP000099,BEN000746,OFF0007,2025-04-11,CSC Center,No,Yes,Yes,Approved,
APP000100,BEN009406,OFF0037,2024-12-19,District Office,No,Yes,Yes,Approved,
APP000101,BEN004137,OFF0062,2025-12-12,Online,No,No,Yes,Pending,
APP000102,BEN009454,OFF0081,2025-02-02,CSC Center,Yes,No,Yes,Approved,
APP000103,BEN004067,OFF0016,2026-01-06,District Office,Yes,No,No,Approved,
APP000104,BEN007254,OFF0039,2026-07-07,Hospital,Yes,Yes,Yes,Rejected,Invalid Aadhaar
APP000105,BEN003458,OFF0034,2025-12-22,CSC Center,Yes,Yes,Yes,Approved,
APP000106,BEN002565,OFF0001,2025-11-25,Mobile Camp,No,No,Yes,Approved,
APP000107,BEN003793,OFF0037,2024-09-03,District Office,Yes,Yes,No,Approved,
APP000108,BEN009664,OFF0085,2025-10-26,District Office,Yes,Yes,Yes,Rejected,Incomplete Documents
APP000109,BEN004353,OFF0019,2025-11-15,CSC Center,No,No,No,Pending,
APP000110,BEN002038,OFF0060,2024-11-19,District Office,No,No,No,Approved,
APP000111,BEN001318,OFF0077,2025-08-28,District Office,No,No,Yes,Pending,
APP000112,BEN001497,OFF0030,2026-01-27,Mobile Camp,Yes,No,Yes,Under Verification,
APP000113,BEN002871,OFF0061,2025-01-16,District Office,No,Yes,No,Approved,
APP000114,BEN008057,OFF0012,2024-11-13,District Office,No,No,Yes,Approved,
APP000115,BEN002635,OFF0043,2025-07-04,District Office,No,No,Yes,Approved,
APP000116,BEN007452,OFF0012,2025-04-30,Hospital,Yes,No,Yes,Approved,
APP000117,BEN008890,OFF0060,2025-02-04,CSC Center,No,No,No,Approved,
APP000118,BEN000846,OFF0027,2026-06-28,CSC Center,No,No,No,Approved,
APP000119,BEN001990,OFF0004,2025-11-19,Mobile Camp,Yes,Yes,No,Under Verification,
APP000120,BEN009025,OFF0002,2025-12-26,Online,Yes,Yes,No,Approved,
APP000121,BEN001925,OFF0083,2025-09-15,Hospital,No,No,No,Rejected,Invalid Aadhaar
APP000122,BEN007737,OFF0032,2024-12-27,CSC Center,No,Yes,Yes,Approved,
APP000123,BEN001144,OFF0036,2025-12-23,Hospital,No,Yes,No,Rejected,Invalid Aadhaar
APP000124,BEN004892,OFF0076,2025-03-18,District Office,Yes,No,No,Approved,
APP000125,BEN005655,OFF0043,2026-04-25,Mobile Camp,No,No,No,Approved,
APP000126,BEN003091,OFF0090,2026-02-26,District Office,Yes,No,Yes,Approved,
APP000127,BEN005214,OFF0096,2026-03-04,District Office,No,Yes,No,Approved,
APP000128,BEN000607,OFF0017,2024-08-22,Mobile Camp,No,Yes,No,Approved,
APP000129,BEN001634,OFF0068,2025-01-03,Online,Yes,No,Yes,Under Verification,
APP000130,BEN001226,OFF0061,2026-04-09,Hospital,No,Yes,No,Rejected,Duplicate Application
APP000131,BEN008743,OFF0049,2024-08-03,District Office,Yes,Yes,Yes,Under Verification,
APP000132,BEN004709,OFF0030,2026-03-27,District Office,Yes,Yes,No,Approved,
APP000133,BEN002726,OFF0089,2025-03-12,Online,Yes,No,Yes,Approved,
APP000134,BEN004807,OFF0046,2025-05-17,CSC Center,Yes,No,Yes,Approved,
APP000135,BEN002786,OFF0023,2025-02-02,District Office,Yes,No,Yes,Pending,
APP000136,BEN003805,OFF0060,2024-08-30,District Office,No,Yes,No,Approved,
APP000137,BEN004713,OFF0087,2024-12-20,Online,No,No,No,Approved,
APP000138,BEN006952,OFF0089,2026-06-19,Hospital,Yes,No,No,Approved,
APP000139,BEN001748,OFF0031,2025-09-23,Hospital,No,No,Yes,Approved,
APP000140,BEN006485,OFF0036,2026-05-21,Online,No,No,Yes,Pending,
APP000141,BEN009947,OFF0046,2026-01-18,CSC Center,No,Yes,Yes,Approved,
APP000142,BEN000646,OFF0040,2025-03-11,Mobile Camp,No,Yes,Yes,Rejected,Income Above Limit
APP000143,BEN004836,OFF0042,2024-12-22,CSC Center,Yes,Yes,No,Approved,
APP000144,BEN008698,OFF0065,2025-12-01,CSC Center,No,No,No,Under Verification,
APP000145,BEN005550,OFF0015,2025-08-01,Online,Yes,Yes,No,Approved,
APP000146,BEN009132,OFF0047,2025-05-13,District Office,Yes,No,Yes,Pending,
APP000147,BEN007452,OFF0048,2026-05-28,Hospital,No,No,Yes,Approved,
APP000148,BEN003831,OFF0061,2026-06-20,Mobile Camp,No,Yes,Yes,Pending,
APP000149,BEN007607,OFF0090,2025-11-21,District Office,Yes,Yes,Yes,Approved,
APP000150,BEN000610,OFF0039,2025-07-01,Online,Yes,Yes,Yes,Under Verification,
APP000151,BEN006368,OFF0059,2024-10-28,Mobile Camp,No,Yes,No,Approved,
APP000152,BEN001623,OFF0063,2025-01-31,Hospital,Yes,No,Yes,Approved,
APP000153,BEN007265,OFF0057,2024-10-26,Hospital,Yes,No,No,Under Verification,
APP000154,BEN000993,OFF0051,2025-01-17,Online,No,Yes,Yes,Approved,
APP000155,BEN009784,OFF0003,2026-02-08,Hospital,Yes,Yes,Yes,Pending,
APP000156,BEN001125,OFF0098,2025-09-19,Mobile Camp,Yes,Yes,No,Approved,
APP000157,BEN002418,OFF0077,2025-09-01,CSC Center,Yes,No,Yes,Pending,
APP000158,BEN001802,OFF0085,2025-01-30,Online,No,Yes,No,Rejected,Incomplete Documents
APP000159,BEN000259,OFF0023,2026-02-10,CSC Center,No,Yes,Yes,Approved,
APP000160,BEN007803,OFF0058,2025-10-07,Mobile Camp,Yes,No,Yes,Rejected,Address Mismatch
APP000161,BEN000711,OFF0094,2025-06-07,Mobile Camp,No,No,Yes,Rejected,Not Eligible
APP000162,BEN000997,OFF0062,2026-06-07,Online,No,No,Yes,Rejected,Invalid Aadhaar
APP000163,BEN001324,OFF0042,2025-10-06,Online,Yes,No,No,Approved,
APP000164,BEN006241,OFF0077,2025-05-16,District Office,No,Yes,Yes,Approved,
APP000165,BEN009034,OFF0093,2025-04-17,District Office,Yes,No,No,Rejected,Invalid Aadhaar
APP000166,BEN007431,OFF0052,2024-12-27,Online,No,No,No,Approved,
APP000167,BEN004177,OFF0048,2024-10-25,District Office,Yes,Yes,Yes,Under Verification,
APP000168,BEN001528,OFF0056,2025-08-09,Hospital,Yes,Yes,No,Pending,
APP000169,BEN002003,OFF0053,2025-07-28,District Office,Yes,No,No,Approved,
APP000170,BEN005762,OFF0014,2024-09-18,CSC Center,Yes,No,Yes,Approved,
APP000171,BEN001774,OFF0045,2026-02-17,Online,No,Yes,No,Rejected,Duplicate Application
APP000172,BEN009191,OFF0099,2024-08-15,Mobile Camp,Yes,No,Yes,Rejected,Address Mismatch
APP000173,BEN002956,OFF0035,2026-05-09,Hospital,No,No,Yes,Approved,
APP000174,BEN002973,OFF0019,2024-10-03,District Office,Yes,Yes,Yes,Approved,
APP000175,BEN001504,OFF0096,2024-11-05,District Office,No,No,No,Approved,
APP000176,BEN002579,OFF0048,2025-11-09,Hospital,Yes,Yes,Yes,Approved,
APP000177,BEN002580,OFF0097,2024-11-11,Online,No,No,No,Approved,
APP000178,BEN007958,OFF0078,2026-03-17,Hospital,Yes,Yes,No,Approved,
APP000179,BEN007044,OFF0015,2025-12-20,Mobile Camp,No,No,Yes,Approved,
APP000180,BEN003613,OFF0051,2025-06-02,Online,Yes,Yes,No,Under Verification,
APP000181,BEN003461,OFF0099,2025-10-16,Hospital,No,No,Yes,Pending,
APP000182,BEN000127,OFF0064,2024-08-28,CSC Center,Yes,No,Yes,Approved,
APP000183,BEN008197,OFF0072,2025-05-04,Online,No,Yes,No,Rejected,Duplicate Application
APP000184,BEN000308,OFF0059,2025-05-02,Hospital,No,No,No,Under Verification,
APP000185,BEN004744,OFF0015,2025-10-15,Hospital,Yes,No,No,Approved,
APP000186,BEN001444,OFF0056,2025-07-08,District Office,No,Yes,No,Rejected,Incomplete Documents
APP000187,BEN005084,OFF0096,2025-08-24,Hospital,Yes,Yes,Yes,Approved,
APP000188,BEN008694,OFF0066,2025-01-21,Hospital,No,Yes,Yes,Approved,
APP000189,BEN001685,OFF0019,2025-09-12,CSC Center,Yes,Yes,Yes,Approved,
APP000190,BEN008096,OFF0060,2026-05-09,District Office,No,No,Yes,Rejected,Address Mismatch
APP000191,BEN007206,OFF0009,2024-07-18,Hospital,No,Yes,No,Approved,
APP000192,BEN008313,OFF0010,2025-12-20,District Office,Yes,Yes,No,Approved,
APP000193,BEN004704,OFF0010,2026-01-20,Online,No,No,Yes,Approved,
APP000194,BEN007369,OFF0074,2024-10-06,Hospital,No,Yes,Yes,Approved,
APP000195,BEN007382,OFF0014,2025-12-21,Online,Yes,Yes,Yes,Rejected,Duplicate Application
APP000196,BEN007173,OFF0057,2026-05-28,Mobile Camp,Yes,No,No,Approved,
APP000197,BEN004635,OFF0050,2025-08-31,Hospital,Yes,No,Yes,Approved,
APP000198,BEN005402,OFF0013,2026-02-13,District Office,No,No,Yes,Approved,
APP000199,BEN005462,OFF0011,2025-02-02,CSC Center,No,No,No,Approved,
APP000200,BEN002113,OFF0077,2026-02-26,Online,No,No,No,Approved,
APP000201,BEN002094,OFF0086,2025-11-19,Mobile Camp,Yes,No,No,Approved,
APP000202,BEN000299,OFF0047,2025-03-31,CSC Center,No,No,Yes,Approved,
APP000203,BEN003712,OFF0018,2024-10-04,Hospital,Yes,Yes,No,Approved,
APP000204,BEN002148,OFF0077,2025-02-22,CSC Center,Yes,Yes,No,Approved,
APP000205,BEN000716,OFF0053,2025-06-12,CSC Center,No,No,No,Approved,
APP000206,BEN003834,OFF0069,2024-11-09,District Office,Yes,No,No,Approved,
APP000207,BEN007565,OFF0099,2025-06-27,District Office,No,Yes,Yes,Approved,
APP000208,BEN009907,OFF0018,2024-07-12,District Office,No,Yes,Yes,Rejected,Income Above Limit
APP000209,BEN004671,OFF0011,2026-01-21,District Office,Yes,No,Yes,Rejected,Duplicate Application
APP000210,BEN003638,OFF0058,2026-05-21,District Office,Yes,No,No,Rejected,Income Above Limit
APP000211,BEN003863,OFF0050,2026-01-19,Hospital,Yes,Yes,No,Under Verification,
APP000212,BEN001624,OFF0092,2025-01-30,CSC Center,Yes,Yes,No,Approved,
APP000213,BEN007741,OFF0090,2025-08-02,District Office,No,Yes,Yes,Rejected,Not Eligible
APP000214,BEN000312,OFF0033,2026-02-21,CSC Center,No,Yes,No,Approved,
APP000215,BEN003894,OFF0039,2024-11-25,CSC Center,No,No,Yes,Pending,
APP000216,BEN001817,OFF0064,2025-08-08,Online,Yes,Yes,No,Approved,
APP000217,BEN007033,OFF0001,2026-06-18,CSC Center,No,Yes,Yes,Approved,
APP000218,BEN008577,OFF0047,2024-09-30,Mobile Camp,Yes,No,No,Pending,
APP000219,BEN000714,OFF0082,2026-05-17,Hospital,No,Yes,No,Approved,
APP000220,BEN001107,OFF0045,2025-11-07,Online,No,Yes,Yes,Approved,
APP000221,BEN005773,OFF0070,2025-02-26,CSC Center,No,No,Yes,Approved,
APP000222,BEN002210,OFF0009,2026-04-24,District Office,Yes,No,Yes,Approved,
APP000223,BEN000718,OFF0026,2025-11-18,Hospital,No,No,No,Rejected,Duplicate Application
APP000224,BEN000600,OFF0097,2025-08-08,Hospital,No,Yes,No,Approved,
APP000225,BEN004477,OFF0016,2025-10-26,District Office,No,No,No,Rejected,Invalid Aadhaar
APP000226,BEN003061,OFF0064,2024-12-11,Hospital,No,Yes,No,Approved,
APP000227,BEN001294,OFF0056,2024-11-05,CSC Center,No,No,Yes,Approved,
APP000228,BEN001312,OFF0042,2025-04-26,Hospital,No,No,Yes,Approved,
APP000229,BEN007273,OFF0045,2026-02-22,Hospital,No,No,Yes,Approved,
APP000230,BEN001230,OFF0086,2024-11-12,Hospital,Yes,Yes,Yes,Approved,
APP000231,BEN009955,OFF0087,2025-09-01,CSC Center,Yes,Yes,No,Rejected,Income Above Limit
APP000232,BEN005934,OFF0050,2026-03-06,Online,Yes,No,No,Under Verification,
APP000233,BEN006096,OFF0057,2026-06-26,CSC Center,No,No,No,Rejected,Address Mismatch
APP000234,BEN004567,OFF0032,2025-08-25,Online,Yes,No,No,Under Verification,
APP000235,BEN009203,OFF0016,2026-06-23,Hospital,No,Yes,No,Approved,
APP000236,BEN008048,OFF0026,2024-07-10,Online,No,Yes,No,Pending,
APP000237,BEN001439,OFF0088,2025-10-18,Hospital,No,Yes,No,Under Verification,
APP000238,BEN004915,OFF0021,2025-03-18,CSC Center,No,Yes,Yes,Approved,
APP000239,BEN003293,OFF0018,2025-07-24,District Office,Yes,No,No,Approved,
APP000240,BEN007658,OFF0071,2024-07-25,Online,Yes,No,No,Pending,
APP000241,BEN007843,OFF0068,2024-10-04,District Office,Yes,Yes,No,Approved,
APP000242,BEN001216,OFF0058,2026-07-01,Mobile Camp,No,Yes,Yes,Approved,
APP000243,BEN002115,OFF0056,2025-04-17,Online,Yes,Yes,No,Approved,
APP000244,BEN002698,OFF0021,2026-05-23,CSC Center,No,No,Yes,Approved,
APP000245,BEN004106,OFF0026,2026-04-16,Mobile Camp,No,Yes,No,Approved,
APP000246,BEN008741,OFF0012,2026-03-28,CSC Center,Yes,Yes,No,Approved,
APP000247,BEN009235,OFF0006,2025-03-05,Online,Yes,No,Yes,Rejected,Income Above Limit
APP000248,BEN009374,OFF0054,2025-01-11,Online,No,No,No,Approved,
APP000249,BEN007913,OFF0032,2024-08-23,District Office,No,No,Yes,Rejected,Not Eligible
APP000250,BEN000982,OFF0021,2025-01-13,District Office,No,Yes,No,Approved,
APP000251,BEN009940,OFF0019,2026-05-22,Hospital,No,No,Yes,Approved,
APP000252,BEN006071,OFF0066,2025-09-23,Hospital,Yes,No,Yes,Approved,
APP000253,BEN004383,OFF0058,2024-09-09,Online,Yes,No,No,Approved,
APP000254,BEN006851,OFF0032,2024-09-14,CSC Center,No,No,Yes,Under Verification,
APP000255,BEN002611,OFF0064,2026-01-29,District Office,No,No,No,Under Verification,
APP000256,BEN000380,OFF0012,2025-07-22,Mobile Camp,No,Yes,Yes,Under Verification,
APP000257,BEN009558,OFF0046,2026-04-04,Hospital,No,No,No,Pending,
APP000258,BEN008794,OFF0002,2024-09-01,CSC Center,No,No,No,Rejected,Invalid Aadhaar
APP000259,BEN005996,OFF0006,2026-02-20,Mobile Camp,Yes,No,No,Approved,
APP000260,BEN001205,OFF0050,2025-08-27,Mobile Camp,No,Yes,Yes,Approved,
APP000261,BEN001585,OFF0051,2026-02-24,Hospital,No,Yes,Yes,Approved,
APP000262,BEN009871,OFF0066,2024-10-15,Online,Yes,Yes,Yes,Approved,
APP000263,BEN005457,OFF0061,2024-10-17,CSC Center,Yes,No,No,Approved,
APP000264,BEN002663,OFF0051,2025-12-04,Hospital,No,No,No,Under Verification,
APP000265,BEN007781,OFF0003,2025-07-14,Online,No,No,Yes,Approved,
APP000266,BEN009780,OFF0061,2025-09-10,Mobile Camp,Yes,Yes,No,Approved,
APP000267,BEN002794,OFF0068,2024-11-15,Mobile Camp,No,Yes,Yes,Approved,
APP000268,BEN000518,OFF0074,2025-01-31,Online,Yes,Yes,No,Under Verification,
APP000269,BEN005140,OFF0054,2025-08-23,CSC Center,No,No,Yes,Approved,
APP000270,BEN002263,OFF0067,2026-05-18,Hospital,No,No,No,Approved,
APP000271,BEN002838,OFF0059,2025-10-24,Hospital,No,No,No,Under Verification,
APP000272,BEN003151,OFF0032,2025-06-03,Hospital,Yes,No,No,Approved,
APP000273,BEN003397,OFF0089,2024-12-21,Hospital,No,No,No,Approved,
APP000274,BEN004716,OFF0016,2026-07-01,Mobile Camp,No,No,No,Approved,
APP000275,BEN002400,OFF0038,2025-09-01,Online,No,No,No,Pending,
APP000276,BEN007850,OFF0028,2026-02-16,Mobile Camp,No,No,Yes,Approved,
APP000277,BEN001790,OFF0079,2026-01-27,CSC Center,Yes,Yes,Yes,Approved,
APP000278,BEN003815,OFF0007,2025-12-27,Hospital,No,Yes,Yes,Pending,
APP000279,BEN000085,OFF0071,2024-12-13,CSC Center,No,No,No,Under Verification,
APP000280,BEN003268,OFF0097,2026-01-14,Hospital,No,Yes,Yes,Under Verification,
APP000281,BEN009407,OFF0030,2025-03-09,Online,Yes,No,Yes,Approved,
APP000282,BEN000596,OFF0051,2025-05-15,Hospital,Yes,Yes,No,Rejected,Incomplete Documents
APP000283,BEN009306,OFF0078,2025-12-13,Hospital,No,No,No,Pending,
APP000284,BEN002199,OFF0065,2025-11-26,CSC Center,Yes,No,Yes,Approved,
APP000285,BEN007519,OFF0083,2025-04-26,CSC Center,Yes,No,No,Approved,
APP000286,BEN009303,OFF0087,2025-06-15,Mobile Camp,No,No,No,Rejected,Incomplete Documents
APP000287,BEN001422,OFF0052,2026-06-08,CSC Center,Yes,No,No,Approved,
APP000288,BEN004065,OFF0001,2025-08-16,CSC Center,No,No,No,Approved,
APP000289,BEN004948,OFF0075,2025-06-25,Online,No,No,Yes,Approved,
APP000290,BEN001018,OFF0086,2024-10-11,Hospital,Yes,No,No,Pending,
APP000291,BEN001924,OFF0082,2025-01-18,Hospital,No,Yes,Yes,Under Verification,
APP000292,BEN002189,OFF0062,2024-12-31,Mobile Camp,No,No,No,Approved,
APP000293,BEN008807,OFF0086,2024-08-28,Mobile Camp,Yes,No,No,Rejected,Incomplete Documents
APP000294,BEN001280,OFF0073,2025-03-29,Mobile Camp,Yes,Yes,Yes,Pending,
APP000295,BEN005376,OFF0067,2024-07-26,CSC Center,No,Yes,No,Approved,
APP000296,BEN000912,OFF0059,2025-10-09,District Office,No,Yes,No,Pending,
APP000297,BEN005050,OFF0093,2025-09-13,Hospital,Yes,Yes,Yes,Pending,
APP000298,BEN000743,OFF0055,2025-01-04,Online,Yes,Yes,No,Approved,
APP000299,BEN000520,OFF0037,2025-10-10,CSC Center,No,No,No,Approved,
APP000300,BEN007349,OFF0049,2024-12-28,Mobile Camp,Yes,No,Yes,Approved,
APP000301,BEN002925,OFF0069,2024-07-15,CSC Center,Yes,Yes,Yes,Approved,
APP000302,BEN004889,OFF0060,2024-09-03,Mobile Camp,No,No,Yes,Approved,
APP000303,BEN004056,OFF0059,2026-01-10,Hospital,Yes,Yes,Yes,Approved,
APP000304,BEN006869,OFF0079,2025-11-12,CSC Center,Yes,Yes,Yes,Rejected,Income Above Limit
APP000305,BEN009732,OFF0005,2024-08-24,Online,Yes,Yes,No,Approved,
APP000306,BEN007192,OFF0030,2025-01-03,Online,Yes,No,Yes,Approved,
APP000307,BEN009439,OFF0041,2024-08-31,Hospital,Yes,No,Yes,Approved,
APP000308,BEN008541,OFF0029,2026-06-13,Hospital,Yes,Yes,No,Approved,
APP000309,BEN009108,OFF0064,2024-08-03,Hospital,No,No,No,Pending,
APP000310,BEN006689,OFF0020,2026-05-08,CSC Center,No,Yes,Yes,Approved,
