Hospital_ID,Hospital_Name,State,District,Latitude,Longitude,Hospital_Type,Beds,Doctors,PMJAY_Empanelled,Rating,Previous_Fraud
HOS0022,Shree Bhavnagar Hospital,Gujarat,Bhavnagar,35.862588,70.323232,Government,89,96,No,3.5,No
HOS0023,National Surat Care Hospital,Gujarat,Surat,9.152508,70.377519,Private,598,76,Yes,3.2,No
HOS0024,Apollo Pune Health Center,Maharashtra,Pune,11.79547,86.719523,Private,94,11,Yes,5.0,No
HOS0025,Sunrise Ujjain Care Hospital,Madhya Pradesh,Ujjain,15.690812,95.064522,Private,270,57,Yes,3.6,No
HOS0026,Fortis Aurangabad Care Hospital,Maharashtra,Aurangabad,8.22687,91.69602,Government,126,27,Yes,4.7,No
HOS0027,Apollo Agra Care Hospital,Uttar Pradesh,Agra,14.10826,77.943528,Private,290,74,Yes,4.8,No
HOS0028,Lotus Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,9.278516,77.67314,Government,288,30,Yes,3.9,No
HOS0029,LifeCare Gwalior Medical Centre,Madhya Pradesh,Gwalior,23.822118,92.203256,Private,171,65,Yes,3.3,No
HOS0030,Sunrise Indore Medical Centre,Madhya Pradesh,Indore,27.341069,78.25668,Private,436,89,Yes,4.8,No
HOS0031,Health First Kanpur Health Center,Uttar Pradesh,Kanpur,8.718804,89.36037,Government,441,112,Yes,4.3,No
HOS0032,MediPlus Lucknow Hospital,Uttar Pradesh,Lucknow,32.899204,74.450578,Private,491,54,Yes,4.5,No
HOS0033,MediPlus Bhopal Multi Speciality Hospital,Madhya Pradesh,Bhopal,16.079489,70.013202,Private,379,92,Yes,4.2,No
HOS0034,LifeCare Mumbai Multi Speciality Hospital,Maharashtra,Mumbai,13.178467,95.913495,Government,131,86,Yes,4.3,No
HOS0035,LifeCare Bhavnagar Health Center,Gujarat,Bhavnagar,34.085637,73.512284,Government,466,10,Yes,4.5,No
HOS0036,MediPlus Agra Hospital,Uttar Pradesh,Agra,35.51736,94.702355,Private,147,102,No,3.8,No
HOS0037,Prime Nashik Multi Speciality Hospital,Maharashtra,Nashik,24.077962,73.563363,Private,408,96,Yes,2.9,No
HOS0038,Lotus Udaipur Hospital,Rajasthan,Udaipur,16.812374,74.095298,Private,349,69,Yes,4.2,No
HOS0039,Apollo Lucknow Care Hospital,Uttar Pradesh,Lucknow,27.251761,85.958563,Government,260,96,Yes,4.5,No
HOS0040,Sanjeevani Bhopal Care Hospital,Madhya Pradesh,Bhopal,32.642393,70.112019,Private,219,101,Yes,3.7,No
HOS0041,Fortis Gwalior Health Center,Madhya Pradesh,Gwalior,14.346393,91.319186,Private,495,16,Yes,4.8,No
HOS0042,District Varanasi Care Hospital,Uttar Pradesh,Varanasi,36.648881,85.268117,Private,473,88,Yes,4.7,No
HOS0043,Health First Vadodara Medical Centre,Gujarat,Vadodara,29.566008,81.765559,Government,273,117,Yes,4.4,No
HOS0044,Sanjeevani Agra Hospital,Uttar Pradesh,Agra,28.692801,74.800314,Government,573,20,Yes,3.1,No
HOS0045,MediPlus Lucknow Health Center,Uttar Pradesh,Lucknow,17.59556,81.511805,Government,450,59,No,4.0,No
HOS0046,Sanjeevani Vadodara Hospital,Gujarat,Vadodara,35.339508,76.659767,Government,449,78,Yes,3.9,No
HOS0047,Sunrise Varanasi Multi Speciality Hospital,Uttar Pradesh,Varanasi,20.639243,68.84172,Government,434,102,Yes,3.7,No
HOS0048,City Care Bhavnagar Health Center,Gujarat,Bhavnagar,25.16489,87.226993,Government,458,27,No,3.0,No
HOS0049,Sanjeevani Pune Multi Speciality Hospital,Maharashtra,Pune,17.787516,93.50956,Government,451,42,Yes,3.7,No
HOS0050,Sunrise Indore Hospital,Madhya Pradesh,Indore,30.655758,86.900885,Private,273,35,Yes,4.1,No
HOS0051,National Jaipur Medical Centre,Rajasthan,Jaipur,21.485986,75.431067,Government,137,109,Yes,4.9,No
HOS0052,National Indore Health Center,Madhya Pradesh,Indore,19.502979,88.735426,Government,268,23,Yes,3.3,No
HOS0053,Fortis Ujjain Hospital,Madhya Pradesh,Ujjain,18.068909,80.422962,Government,538,92,Yes,4.6,No
HOS0054,Aarogya Jabalpur Health Center,Madhya Pradesh,Jabalpur,28.511951,80.629127,Private,296,88,Yes,3.8,No
HOS0055,Apollo Udaipur Multi Speciality Hospital,Rajasthan,Udaipur,32.699682,92.0912,Government,481,41,Yes,3.9,No
HOS0056,Sanjeevani Mumbai Multi Speciality Hospital,Maharashtra,Mumbai,13.273356,74.151476,Private,368,45,No,4.3,No
HOS0057,Sunrise Ujjain Hospital,Madhya Pradesh,Ujjain,14.999325,79.786416,Private,266,98,Yes,4.3,No
HOS0058,Apollo Gwalior Medical Centre,Madhya Pradesh,Gwalior,19.727633,75.05585,Private,397,70,Yes,3.4,No
HOS0059,Aarogya Rajkot Health Center,Gujarat,Rajkot,15.856576,75.290707,Government,217,50,Yes,3.8,No
HOS0060,Sunrise Kanpur Health Center,Uttar Pradesh,Kanpur,16.018489,85.09802,Private,309,22,Yes,3.2,No
HOS0061,Prime Mumbai Care Hospital,Maharashtra,Mumbai,11.670906,69.319955,Government,319,99,No,4.1,No
HOS0062,National Gwalior Multi Speciality Hospital,Madhya Pradesh,Gwalior,21.612511,80.773595,Government,72,42,No,3.7,No
HOS0063,LifeCare Ajmer Care Hospital,Rajasthan,Ajmer,26.253926,69.554663,Government,596,48,Yes,3.1,No
HOS0064,National Udaipur Care Hospital,Rajasthan,Udaipur,14.544927,83.154604,Private,473,48,No,5.0,No
HOS0065,National Ahmedabad Hospital,Gujarat,Ahmedabad,35.480116,74.025849,Government,103,30,Yes,3.9,No
HOS0066,Prime Ajmer Care Hospital,Rajasthan,Ajmer,21.627462,68.946556,Government,309,99,No,2.7,No
HOS0067,District Aurangabad Medical Centre,Maharashtra,Aurangabad,20.32903,83.792309,Private,292,115,Yes,2.6,No
HOS0068,Health First Bhavnagar Multi Speciality Hospital,Gujarat,Bhavnagar,20.73545,81.592241,Government,432,44,Yes,3.7,No
HOS0069,Prime Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,25.507696,68.750082,Government,41,107,Yes,3.2,Yes
HOS0070,Jan Kalyan Varanasi Health Center,Uttar Pradesh,Varanasi,34.566111,73.263185,Private,523,21,Yes,3.5,No
HOS0071,Aarogya Bhopal Health Center,Madhya Pradesh,Bhopal,28.116537,76.358316,Private,583,14,Yes,3.3,No
HOS0072,Lotus Udaipur Hospital,Rajasthan,Udaipur,27.072151,83.735214,Private,212,76,Yes,4.4,No
HOS0073,Apollo Bhopal Care Hospital,Madhya Pradesh,Bhopal,11.799384,76.352845,Private,516,25,Yes,4.1,No
HOS0074,Jan Kalyan Agra Hospital,Uttar Pradesh,Agra,24.015291,70.703067,Private,136,69,No,4.1,No
HOS0075,Prime Aurangabad Multi Speciality Hospital,Maharashtra,Aurangabad,20.04922,81.992488,Private,487,80,Yes,3.0,No
HOS0076,Apollo Lucknow Health Center,Uttar Pradesh,Lucknow,17.856382,90.843805,Government,22,46,Yes,4.6,No
HOS0077,Sanjeevani Jodhpur Care Hospital,Rajasthan,Jodhpur,22.0459,77.640759,Private,406,68,No,4.7,No
HOS0078,MediPlus Prayagraj Medical Centre,Uttar Pradesh,Prayagraj,32.824376,79.912478,Government,504,100,No,3.5,No
HOS0079,City Care Varanasi Medical Centre,Uttar Pradesh,Varanasi,22.566443,85.115232,Private,470,22,Yes,3.6,No
HOS0080,LifeCare Jodhpur Health Center,Rajasthan,Jodhpur,30.664233,75.685661,Private,427,93,Yes,3.3,No
HOS0081,Aarogya Vadodara Health Center,Gujarat,Vadodara,33.299108,69.041074,Government,314,39,Yes,3.6,No
HOS0082,Shree Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,34.199298,69.333738,Private,320,55,Yes,2.9,No
HOS0083,Shree Surat Medical Centre,Gujarat,Surat,10.290082,93.254348,Private,266,73,No,2.9,No
HOS0084,Apollo Nashik Hospital,Maharashtra,Nashik,34.068347,81.492344,Government,579,30,Yes,4.9,No
HOS0085,Prime Nashik Multi Speciality Hospital,Maharashtra,Nashik,21.248239,76.761528,Private,514,23,Yes,3.9,No
HOS0086,Lotus Mumbai Health Center,Maharashtra,Mumbai,15.959931,84.411941,Private,70,87,Yes,4.6,No
HOS0087,Fortis Prayagraj Multi Speciality Hospital,Uttar Pradesh,Prayagraj,14.351132,73.513828,Government,160,90,Yes,4.1,Yes
HOS0088,National Jaipur Multi Speciality Hospital,Rajasthan,Jaipur,29.238433,70.613868,Government,445,32,Yes,4.5,No
HOS0089,Jan Kalyan Aurangabad Multi Speciality Hospital,Maharashtra,Aurangabad,32.083706,75.452132,Private,513,113,Yes,4.7,No
HOS0090,Shree Jaipur Medical Centre,Rajasthan,Jaipur,32.944077,89.002285,Private,590,56,Yes,3.5,No
HOS0091,Aarogya Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,24.952243,91.850102,Private,130,96,Yes,2.6,No
HOS0092,Health First Rajkot Care Hospital,Gujarat,Rajkot,14.419649,69.833294,Private,329,93,Yes,2.8,No
HOS0093,LifeCare Nashik Hospital,Maharashtra,Nashik,14.809201,83.588852,Government,399,95,No,4.2,No
HOS0094,Health First Surat Health Center,Gujarat,Surat,26.992735,92.177099,Private,306,14,Yes,3.0,No
HOS0095,LifeCare Agra Multi Speciality Hospital,Uttar Pradesh,Agra,23.78951,96.357433,Government,427,45,Yes,2.8,No
HOS0096,District Jaipur Medical Centre,Rajasthan,Jaipur,26.60943,85.317233,Government,361,41,No,4.5,No
HOS0097,National Surat Medical Centre,Gujarat,Surat,31.578536,74.756962,Private,22,45,No,2.9,No
HOS0098,LifeCare Pune Hospital,Maharashtra,Pune,11.822294,78.389026,Private,351,12,Yes,2.6,No
HOS0099,Prime Ahmedabad Hospital,Gujarat,Ahmedabad,21.811133,90.562494,Private,131,67,Yes,4.9,Yes
HOS0100,Sanjeevani Rajkot Hospital,Gujarat,Rajkot,9.763937,81.890475,Private,130,72,Yes,3.6,No
HOS0101,Shree Aurangabad Hospital,Maharashtra,Aurangabad,11.659556,86.105207,Private,352,58,No,3.8,No
HOS0102,LifeCare Vadodara Hospital,Gujarat,Vadodara,32.730989,86.876583,Private,240,65,Yes,3.1,No
HOS0103,MediPlus Ajmer Hospital,Rajasthan,Ajmer,17.063902,77.063184,Government,176,97,No,2.7,No
HOS0104,LifeCare Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,31.541309,84.134751,Private,595,81,Yes,2.8,No
HOS0105,Apollo Jaipur Care Hospital,Rajasthan,Jaipur,17.061018,71.004416,Private,178,94,Yes,4.6,No
HOS0106,LifeCare Rajkot Multi Speciality Hospital,Gujarat,Rajkot,24.6489,91.40942,Private,590,13,Yes,4.1,No
HOS0107,Apollo Bhopal Multi Speciality Hospital,Madhya Pradesh,Bhopal,34.724588,78.179679,Government,166,82,Yes,2.7,No
HOS0108,Prime Gwalior Care Hospital,Madhya Pradesh,Gwalior,14.238854,80.175142,Government,398,49,Yes,4.4,No
HOS0109,Shree Gwalior Medical Centre,Madhya Pradesh,Gwalior,29.87864,69.443112,Government,473,94,Yes,4.0,No
HOS0110,LifeCare Prayagraj Multi Speciality Hospital,Uttar Pradesh,Prayagraj,20.467495,76.214148,Private,518,77,Yes,2.6,No
HOS0111,City Care Ahmedabad Medical Centre,Gujarat,Ahmedabad,16.741161,74.125785,Government,281,47,Yes,2.5,No
HOS0112,MediPlus Kanpur Care Hospital,Uttar Pradesh,Kanpur,28.406467,82.507608,Private,382,19,Yes,4.4,No
HOS0113,Lotus Jaipur Multi Speciality Hospital,Rajasthan,Jaipur,24.697016,84.628591,Private,447,47,Yes,2.6,No
HOS0114,Lotus Vadodara Multi Speciality Hospital,Gujarat,Vadodara,10.555767,92.490046,Government,430,77,Yes,4.7,No
HOS0115,Fortis Agra Medical Centre,Uttar Pradesh,Agra,10.215002,86.363515,Private,218,109,Yes,4.3,No
HOS0116,LifeCare Kanpur Medical Centre,Uttar Pradesh,Kanpur,15.423078,73.031472,Government,97,32,No,4.1,No
HOS0117,Sanjeevani Bhavnagar Care Hospital,Gujarat,Bhavnagar,26.646763,96.609426,Government,343,29,Yes,3.7,No
HOS0118,City Care Aurangabad Multi Speciality Hospital,Maharashtra,Aurangabad,22.71277,77.001828,Private,78,57,Yes,2.7,No
HOS0119,National Ujjain Care Hospital,Madhya Pradesh,Ujjain,19.149992,84.829553,Private,62,67,No,3.9,No
HOS0120,Jan Kalyan Vadodara Medical Centre,Gujarat,Vadodara,35.773948,81.06517,Private,371,101,Yes,4.1,Yes
HOS0121,Jan Kalyan Ajmer Care Hospital,Rajasthan,Ajmer,25.684357,78.553041,Private,416,62,Yes,4.2,Yes
HOS0122,Aarogya Mumbai Hospital,Maharashtra,Mumbai,24.180933,79.210362,Government,173,52,Yes,4.2,No
HOS0123,Shree Nashik Care Hospital,Maharashtra,Nashik,28.556186,70.456851,Private,356,114,Yes,4.3,No
HOS0124,District Ahmedabad Health Center,Gujarat,Ahmedabad,22.746166,68.528686,Government,239,53,No,3.7,No
HOS0125,LifeCare Kanpur Multi Speciality Hospital,Uttar Pradesh,Kanpur,32.488423,70.933082,Private,559,14,Yes,4.7,No
HOS0126,Shree Vadodara Medical Centre,Gujarat,Vadodara,13.244533,88.092524,Private,189,102,Yes,3.5,No
HOS0127,National Varanasi Multi Speciality Hospital,Uttar Pradesh,Varanasi,29.819344,90.73021,Government,264,49,No,4.5,No
HOS0128,District Agra Care Hospital,Uttar Pradesh,Agra,36.548754,81.388719,Government,411,74,Yes,4.9,No
HOS0129,Lotus Surat Multi Speciality Hospital,Gujarat,Surat,9.513214,81.937129,Government,125,101,Yes,4.6,No
HOS0130,Sanjeevani Agra Care Hospital,Uttar Pradesh,Agra,12.273111,80.686704,Private,247,114,Yes,3.4,Yes
HOS0131,Jan Kalyan Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,14.837564,96.841235,Government,48,50,No,4.6,No
HOS0132,City Care Kanpur Multi Speciality Hospital,Uttar Pradesh,Kanpur,34.604489,81.701193,Private,500,67,Yes,4.8,Yes
HOS0133,Jan Kalyan Kanpur Care Hospital,Uttar Pradesh,Kanpur,23.305374,71.224419,Government,328,25,Yes,3.5,No
HOS0134,LifeCare Jaipur Health Center,Rajasthan,Jaipur,25.305432,68.476625,Private,267,101,Yes,3.6,No
HOS0135,MediPlus Prayagraj Medical Centre,Uttar Pradesh,Prayagraj,27.266768,70.482805,Private,89,77,Yes,4.5,No
HOS0136,Lotus Jabalpur Health Center,Madhya Pradesh,Jabalpur,9.262498,79.219558,Government,36,55,Yes,3.4,No
HOS0137,Prime Ujjain Multi Speciality Hospital,Madhya Pradesh,Ujjain,11.868878,78.216672,Government,199,116,Yes,3.7,No
HOS0138,LifeCare Kanpur Health Center,Uttar Pradesh,Kanpur,9.07253,73.846139,Private,62,50,No,3.8,No
HOS0139,Apollo Vadodara Hospital,Gujarat,Vadodara,29.845437,73.541999,Government,68,120,Yes,3.2,No
HOS0140,Prime Ajmer Health Center,Rajasthan,Ajmer,33.944487,79.212698,Private,528,98,Yes,4.8,No
HOS0141,LifeCare Jabalpur Health Center,Madhya Pradesh,Jabalpur,25.471146,91.847897,Private,348,23,Yes,4.2,No
HOS0142,Shree Vadodara Health Center,Gujarat,Vadodara,18.194863,69.2283,Private,381,88,No,3.2,No
HOS0143,District Gwalior Health Center,Madhya Pradesh,Gwalior,18.536023,91.231783,Private,51,28,Yes,4.2,No
HOS0144,Sunrise Lucknow Multi Speciality Hospital,Uttar Pradesh,Lucknow,18.502367,95.534546,Government,177,96,Yes,3.4,No
HOS0145,Shree Ujjain Care Hospital,Madhya Pradesh,Ujjain,18.641549,77.117178,Government,136,13,Yes,3.7,No
HOS0146,Apollo Ahmedabad Multi Speciality Hospital,Gujarat,Ahmedabad,28.417097,74.222542,Private,522,35,Yes,4.6,No
HOS0147,Fortis Jaipur Multi Speciality Hospital,Rajasthan,Jaipur,27.367354,88.576674,Private,317,48,No,4.3,No
HOS0148,Jan Kalyan Agra Medical Centre,Uttar Pradesh,Agra,11.519511,73.828431,Government,525,13,Yes,3.9,No
HOS0149,National Surat Hospital,Gujarat,Surat,9.906695,79.546639,Private,510,77,Yes,3.5,No
HOS0150,District Agra Hospital,Uttar Pradesh,Agra,21.04926,87.723161,Government,584,91,Yes,4.4,No
HOS0151,Lotus Ahmedabad Hospital,Gujarat,Ahmedabad,23.024962,76.819612,Government,250,54,No,3.8,No
HOS0152,Sunrise Indore Care Hospital,Madhya Pradesh,Indore,15.95908,86.125648,Private,115,74,Yes,4.0,No
HOS0153,Prime Prayagraj Care Hospital,Uttar Pradesh,Prayagraj,17.790968,94.793962,Government,49,20,Yes,4.1,No
HOS0154,MediPlus Prayagraj Care Hospital,Uttar Pradesh,Prayagraj,26.530745,82.443104,Private,316,92,No,3.7,No
HOS0155,Sanjeevani Kota Hospital,Rajasthan,Kota,27.969794,72.584333,Private,495,36,Yes,2.9,No
HOS0156,MediPlus Nagpur Medical Centre,Maharashtra,Nagpur,30.059285,82.934424,Government,267,69,Yes,3.6,No
HOS0157,MediPlus Indore Care Hospital,Madhya Pradesh,Indore,20.125908,95.91789,Private,355,83,Yes,3.0,No
HOS0158,Sanjeevani Vadodara Multi Speciality Hospital,Gujarat,Vadodara,22.423738,70.611424,Government,488,40,Yes,3.4,Yes
HOS0159,Health First Udaipur Health Center,Rajasthan,Udaipur,16.286703,68.237145,Government,157,43,Yes,4.4,No
HOS0160,National Jaipur Care Hospital,Rajasthan,Jaipur,13.645004,84.043465,Government,536,67,Yes,3.2,No
HOS0161,Shree Ahmedabad Hospital,Gujarat,Ahmedabad,19.423208,91.05202,Government,394,106,Yes,4.0,No
HOS0162,City Care Gwalior Medical Centre,Madhya Pradesh,Gwalior,28.694164,91.31501,Private,172,87,No,2.8,No
HOS0163,MediPlus Pune Care Hospital,Maharashtra,Pune,29.440261,76.677796,Government,541,78,Yes,3.9,No
HOS0164,Aarogya Indore Hospital,Madhya Pradesh,Indore,36.417043,84.927362,Private,47,86,Yes,4.9,No
HOS0165,Sunrise Bhavnagar Hospital,Gujarat,Bhavnagar,24.922175,72.94485,Private,409,28,Yes,3.1,No
HOS0166,City Care Bhopal Health Center,Madhya Pradesh,Bhopal,17.097082,72.391506,Private,440,74,Yes,4.8,No
HOS0167,Jan Kalyan Bhopal Medical Centre,Madhya Pradesh,Bhopal,24.265716,96.945563,Private,405,50,No,3.6,No
HOS0168,District Rajkot Multi Speciality Hospital,Gujarat,Rajkot,25.692221,73.575661,Government,591,48,Yes,4.9,No
HOS0169,Prime Pune Health Center,Maharashtra,Pune,17.194182,78.115292,Private,300,46,Yes,4.2,No
HOS0170,Fortis Kota Medical Centre,Rajasthan,Kota,16.423127,76.34128,Private,374,66,Yes,4.4,No
HOS0171,Health First Rajkot Care Hospital,Gujarat,Rajkot,28.188968,71.980916,Private,265,41,Yes,4.8,No
HOS0172,LifeCare Lucknow Health Center,Uttar Pradesh,Lucknow,17.578515,81.699713,Private,160,10,No,4.9,No
HOS0173,District Ajmer Medical Centre,Rajasthan,Ajmer,29.921421,76.330106,Government,80,108,Yes,3.9,No
HOS0174,MediPlus Bhopal Medical Centre,Madhya Pradesh,Bhopal,35.083756,69.053856,Private,527,33,No,4.9,No
HOS0175,Apollo Gwalior Care Hospital,Madhya Pradesh,Gwalior,25.480706,94.925191,Government,485,92,Yes,3.7,No
HOS0176,Apollo Vadodara Medical Centre,Gujarat,Vadodara,31.455602,77.589839,Private,283,101,Yes,4.3,No
HOS0177,Shree Surat Care Hospital,Gujarat,Surat,32.828249,94.01424,Private,547,51,Yes,4.2,No
HOS0178,Aarogya Varanasi Medical Centre,Uttar Pradesh,Varanasi,8.198073,79.123657,Private,293,52,Yes,4.3,Yes
HOS0179,City Care Pune Hospital,Maharashtra,Pune,21.496455,72.631788,Private,338,98,Yes,4.8,No
HOS0180,Sunrise Surat Medical Centre,Gujarat,Surat,21.867275,81.194382,Private,402,63,Yes,4.8,No
HOS0181,District Kanpur Care Hospital,Uttar Pradesh,Kanpur,33.320917,70.374239,Private,390,19,No,2.8,No
HOS0182,National Surat Care Hospital,Gujarat,Surat,12.345719,77.515411,Private,139,97,Yes,4.0,No
HOS0183,Fortis Vadodara Hospital,Gujarat,Vadodara,21.149537,82.884187,Private,79,81,Yes,4.5,No
HOS0184,Lotus Kota Hospital,Rajasthan,Kota,29.62833,84.771027,Government,372,99,Yes,5.0,No
HOS0185,City Care Jabalpur Multi Speciality Hospital,Madhya Pradesh,Jabalpur,19.857141,90.30019,Private,450,57,No,3.5,No
HOS0186,LifeCare Ajmer Care Hospital,Rajasthan,Ajmer,11.856704,92.948311,Government,570,60,Yes,4.3,No
HOS0187,Apollo Gwalior Health Center,Madhya Pradesh,Gwalior,27.531496,83.788915,Private,255,41,Yes,2.9,No
HOS0188,Fortis Gwalior Health Center,Madhya Pradesh,Gwalior,25.832773,95.1509,Private,266,36,Yes,4.0,No
HOS0189,Prime Bhopal Hospital,Madhya Pradesh,Bhopal,19.665695,74.795839,Government,77,27,Yes,3.2,No
HOS0190,National Rajkot Care Hospital,Gujarat,Rajkot,30.403608,91.733092,Government,166,94,Yes,3.5,No
HOS0191,Health First Bhavnagar Medical Centre,Gujarat,Bhavnagar,26.153801,80.388817,Private,372,92,Yes,4.5,No
HOS0192,Shree Ajmer Multi Speciality Hospital,Rajasthan,Ajmer,18.917345,89.878067,Private,250,48,No,2.9,No
HOS0193,MediPlus Ujjain Health Center,Madhya Pradesh,Ujjain,24.161316,71.88869,Government,228,52,Yes,4.8,No
HOS0194,Prime Ujjain Medical Centre,Madhya Pradesh,Ujjain,9.494562,78.937871,Private,60,19,Yes,4.4,No
HOS0195,Sanjeevani Surat Medical Centre,Gujarat,Surat,33.214742,77.655965,Private,35,37,No,4.9,No
HOS0196,Prime Jodhpur Care Hospital,Rajasthan,Jodhpur,28.409289,79.50233,Government,349,109,Yes,3.7,No
HOS0197,Aarogya Nagpur Care Hospital,Maharashtra,Nagpur,33.601547,81.514118,Private,500,107,Yes,4.8,No
HOS0198,National Jaipur Medical Centre,Rajasthan,Jaipur,29.496319,68.470377,Private,447,47,Yes,3.3,No
HOS0199,Jan Kalyan Varanasi Multi Speciality Hospital,Uttar Pradesh,Varanasi,15.462476,91.826166,Private,522,68,Yes,4.5,No
HOS0200,Shree Vadodara Care Hospital,Gujarat,Vadodara,36.719383,95.75987,Private,96,114,Yes,4.4,No
HOS0201,Prime Lucknow Medical Centre,Uttar Pradesh,Lucknow,8.265102,82.666255,Government,514,94,Yes,2.5,No
HOS0202,Jan Kalyan Gwalior Multi Speciality Hospital,Madhya Pradesh,Gwalior,23.536405,76.313968,Private,460,113,No,2.9,No
HOS0203,Sunrise Surat Medical Centre,Gujarat,Surat,25.973644,75.320128,Government,426,20,Yes,3.5,No
HOS0204,District Agra Hospital,Uttar Pradesh,Agra,26.958336,92.888356,Private,115,61,Yes,3.9,Yes
HOS0205,LifeCare Bhopal Health Center,Madhya Pradesh,Bhopal,32.514564,86.70231,Government,117,77,No,3.1,No
HOS0206,Apollo Vadodara Hospital,Gujarat,Vadodara,34.800619,87.848434,Government,576,82,Yes,2.9,No
HOS0207,National Bhopal Medical Centre,Madhya Pradesh,Bhopal,29.81538,88.668631,Government,98,48,Yes,3.1,No
HOS0208,Aarogya Udaipur Health Center,Rajasthan,Udaipur,29.912669,72.058567,Private,100,74,Yes,3.4,No
HOS0209,Aarogya Lucknow Care Hospital,Uttar Pradesh,Lucknow,30.301164,95.690894,Government,354,13,Yes,4.5,No
HOS0210,Jan Kalyan Agra Health Center,Uttar Pradesh,Agra,20.52359,87.711151,Private,107,108,Yes,4.5,No
HOS0211,Shree Indore Health Center,Madhya Pradesh,Indore,28.638637,86.383126,Private,344,56,Yes,2.5,No
HOS0212,LifeCare Nagpur Medical Centre,Maharashtra,Nagpur,10.53162,80.498406,Private,544,62,Yes,2.7,No
HOS0213,Fortis Bhavnagar Multi Speciality Hospital,Gujarat,Bhavnagar,33.047827,68.357878,Private,106,102,No,4.8,No
HOS0214,Shree Bhavnagar Health Center,Gujarat,Bhavnagar,12.915551,75.79865,Government,169,18,Yes,3.2,No
HOS0215,Apollo Indore Medical Centre,Madhya Pradesh,Indore,28.906084,82.378271,Private,488,23,Yes,2.5,No
HOS0216,Fortis Vadodara Multi Speciality Hospital,Gujarat,Vadodara,20.766465,80.48787,Private,159,48,Yes,4.9,No
HOS0217,MediPlus Pune Multi Speciality Hospital,Maharashtra,Pune,16.451996,88.153775,Private,268,51,Yes,4.5,No
HOS0218,Sunrise Ujjain Care Hospital,Madhya Pradesh,Ujjain,36.920683,73.217889,Private,47,103,Yes,4.3,No
HOS0219,Lotus Mumbai Health Center,Maharashtra,Mumbai,27.516352,72.036195,Government,278,94,Yes,3.6,No
